onset	duration	trial	stim_file	event	response	response_timestamp	response_recall	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	response_recognition	response_confidence	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh
1.999	6.036	1	08_S12_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
8.035	42.415	1	08_S12_combined_small.mp4	displayVid	not applicable	not applicable	he punched on the card and made a hole. later it looked like sticking small black round paper which is of punching hole size and moved all around the corners on the card and there was no hole.	remembered	remembered	The magician punches a hole in the card. He then moves the hole from one corner to another before finally revealing that it is actually a black spot on the card.	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered
51.999	4	1	08_S12_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
55.999	5.997	1	08_S12_combined_small.mp4	displayAnswer	31 or more	56.8176559239946	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
61.996	0.083	1	08_S12_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
62.079	5.952	1	08_S12_combined_small.mp4	displayCuriosity	6	63.1088259679964	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
68.032	4	1	08_S12_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
73.998	6.001	2	30_H15_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
79.999	31.933	2	30_H15_combined_small.mp4	displayVid	not applicable	not applicable	no recall	forgotten	forgotten	The magician pierces the deck of cards with a toothpick, but afterwards there is no hole.	2	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
111.998	4	2	30_H15_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
115.998	5.999	2	30_H15_combined_small.mp4	displayAnswer	11 to 20	116.649873960996	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
121.997	0.05	2	30_H15_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
122.047	5.946	2	30_H15_combined_small.mp4	displayCuriosity	3	123.39164131599	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
127.993	8.004	2	30_H15_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
137.997	6.036	3	18_Trick4_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
144.033	47.812	3	18_Trick4_combined_small.mp4	displayVid	not applicable	not applicable	the balloon was kept on mobile and slowly the air was released from it . Finally it was sticked like a back cover to mobile.	forgotten	forgotten	As the balloon deflates, the phones starts moving across the surface without the magician touching it.	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
191.991	4.001	3	18_Trick4_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
195.993	6.004	3	18_Trick4_combined_small.mp4	displayAnswer	31 or more	197.236257158002	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
201.997	0.05	3	18_Trick4_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
202.047	5.95	3	18_Trick4_combined_small.mp4	displayCuriosity	4	203.685041931996	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
207.996	9.996	3	18_Trick4_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
219.994	6.038	4	23_K10_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
226.032	23.412	4	23_K10_combined_small.mp4	displayVid	not applicable	not applicable	pin was inserted into another pin without opening it and it was removed by opening one of the pin	remembered	remembered	The safety pins magically interlock without breaking the seal.	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered
249.996	4	4	23_K10_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
253.996	6	4	23_K10_combined_small.mp4	displayAnswer	31 or more	254.694888931001	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
259.996	0.049	4	23_K10_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
260.045	5.948	4	23_K10_combined_small.mp4	displayCuriosity	3	262.199125617	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
265.993	4.003	4	23_K10_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
271.996	6.035	5	22_K18_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
278.031	22.216	5	22_K18_combined_small.mp4	displayVid	not applicable	not applicable	converted to single pack of cards by folding it 	remembered	remembered	The magician folds the sheet of paper smaller and smaller until it transforms into a pack of cards.	5	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered
301.996	4	5	22_K18_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
305.996	5.997	5	22_K18_combined_small.mp4	displayAnswer	21 to 30	307.251470552001	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
311.993	0.05	5	22_K18_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
312.042	5.953	5	22_K18_combined_small.mp4	displayCuriosity	3	313.611867866988	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
317.995	4	5	22_K18_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
323.995	6.031	6	35_Trick32_long_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
330.025	46.931	6	35_Trick32_long_combined_small.mp4	displayVid	not applicable	not applicable	the 4 coins were placed on the table and each was gone one at a time and later again by tricks he placed all of them  on table	forgotten	forgotten	The magician shows a silver and a copper coin. Every time he puts a coin in his pocket, the coin appears again in his hand.	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
377.994	3.999	6	35_Trick32_long_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
381.993	6	6	35_Trick32_long_combined_small.mp4	displayAnswer	11 to 20	382.601847257989	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
387.994	0.049	6	35_Trick32_long_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
388.043	5.951	6	35_Trick32_long_combined_small.mp4	displayCuriosity	3	391.679636211993	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
393.994	4	6	35_Trick32_long_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
399.99	6.039	7	03_H16_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
406.029	33.608	7	03_H16_combined_small.mp4	displayVid	not applicable	not applicable	He pressed the coke bottle from all sides and closed the tip and by tricks he was able to get the real coke out of it and poured into glass next to it	remembered	remembered	The magician pours coke into a glass from an empty can.	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered
439.985	4.003	7	03_H16_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
443.988	6.004	7	03_H16_combined_small.mp4	displayAnswer	11 to 20	444.636244816997	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
449.992	0.049	7	03_H16_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
450.042	5.951	7	03_H16_combined_small.mp4	displayCuriosity	6	451.512334518993	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
455.993	4.001	7	03_H16_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
461.993	6.031	8	01_H35_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
468.024	37.652	8	01_H35_combined_small.mp4	displayVid	not applicable	not applicable	The cards signed by the participant was shuffled and then it was turned out to be one single card inside the cover	remembered	remembered	The volunteer signs a card which the magician subsequently pulls from a Ziploc bag.	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered
505.993	5.995	8	01_H35_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
511.988	6.003	8	01_H35_combined_small.mp4	displayAnswer	0 to 10	512.762458643992	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
517.991	0.05	8	01_H35_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
518.042	5.951	8	01_H35_combined_small.mp4	displayCuriosity	6	519.988294682989	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
523.993	3.999	8	01_H35_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
529.992	6.032	9	12_H37_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
536.024	28.787	9	12_H37_combined_small.mp4	displayVid	not applicable	not applicable	NO recall	forgotten	forgotten	The magician detaches his thumb, but when he turns his hands, the thumb is reattached.	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
565.992	4	9	12_H37_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
569.991	6	9	12_H37_combined_small.mp4	displayAnswer	0 to 10	570.879808297992	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
575.991	0.05	9	12_H37_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
576.041	5.947	9	12_H37_combined_small.mp4	displayCuriosity	7	578.549633748989	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
581.988	4.004	9	12_H37_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
587.991	6.035	10	21_S15_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
594.026	31.978	10	21_S15_combined_small.mp4	displayVid	not applicable	not applicable	the coin was inserted into the wine glass from the side and it remained hanging in the centre of the wine glass inside	remembered	remembered	The magician places a ring on the stem of the glass without breaking it.	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered
627.987	6.003	10	21_S15_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
