onset	duration	trial	stim_file	event	response	response_timestamp	response_recall	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	response_recognition	response_confidence	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh
2.001	6.023	1	14_K19_long_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
8.024	32.371	1	14_K19_long_combined_small.mp4	displayVid	not applicable	not applicable	no recall	forgotten	forgotten	The red balls are placed under the mug and merge to become a form a larger ball.	2	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
41.997	4.005	1	14_K19_long_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
46.002	6.002	1	14_K19_long_combined_small.mp4	displayAnswer	21 to 30	48.6101694079989	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
52.004	0.07	1	14_K19_long_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
52.075	5.984	1	14_K19_long_combined_small.mp4	displayCuriosity	3	58.0012077120191	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
58.059	4	1	14_K19_long_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
64.01	6.034	2	01_H35_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
70.044	37.668	2	01_H35_combined_small.mp4	displayVid	not applicable	not applicable	no recall	forgotten	forgotten	The magician puts all the cards into the Ziploc bag. After snapping their fingers the cards appear in the box and the bag is empty again.	1	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
108.01	4	2	01_H35_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
112.009	5.999	2	01_H35_combined_small.mp4	displayAnswer	11 to 20	114.567274675006	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
118.008	0.049	2	01_H35_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
118.058	5.949	2	01_H35_combined_small.mp4	displayCuriosity	5	119.671319956018	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
124.006	8.001	2	01_H35_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
133.997	6.03	3	30_H15_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
140.027	31.901	3	30_H15_combined_small.mp4	displayVid	not applicable	not applicable	the magician balanced the toothpick onto the deck of cards and then asked someone on the side to do the same but they were unsuccessful 	remembered	remembered	The magician balances a toothpick on a deck of cards.	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered
172.008	4.001	3	30_H15_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
176.009	5.998	3	30_H15_combined_small.mp4	displayAnswer	21 to 30	177.468401528022	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
182.007	0.05	3	30_H15_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
182.057	5.945	3	30_H15_combined_small.mp4	displayCuriosity	2	185.512658615015	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
