onset	duration	trial	stim_file	event	response	response_timestamp	response_recall	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	response_recognition	response_confidence	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh
1.995	6.029	13	23_K10_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
8.024	23.417	13	23_K10_combined_small.mp4	displayVid	not applicable	not applicable	the two clips were pushed towards each other and one became within another. 	remembered	remembered	The safety pins magically interlock without breaking the seal.	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered
32.008	6.002	13	23_K10_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
38.011	6.001	13	23_K10_combined_small.mp4	displayAnswer	31 or more	41.0749489929985	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
44.012	0.05	13	23_K10_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
44.062	5.949	13	23_K10_combined_small.mp4	displayCuriosity	3	47.1908477449979	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
50.011	3.993	13	23_K10_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
56.006	6.041	14	03_H16_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
62.047	33.607	14	03_H16_combined_small.mp4	displayVid	not applicable	not applicable	The emptied and squeezed coke can was refilled and the magician opened the can and poured coke into the glass. 	remembered	remembered	The magician pours coke into a glass from an empty can.	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered
96.003	4.001	14	03_H16_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
100.005	6.004	14	03_H16_combined_small.mp4	displayAnswer	0 to 10	101.287936057	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
