onset	duration	trial	stim_file	event	response	response_timestamp	response_recall	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	response_recognition	response_confidence	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh
2.011	6.04	13	25_S25_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
8.052	52.646	13	25_S25_combined_small.mp4	displayVid	not applicable	not applicable	Teared up the rolls 	forgotten	forgotten	The magician makes bread rolls appear in his hands.	2	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
62.008	6.002	13	25_S25_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
68.009	6.004	13	25_S25_combined_small.mp4	displayAnswer	31 or more	68.9031484900042	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
74.014	0.049	13	25_S25_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
74.063	5.953	13	25_S25_combined_small.mp4	displayCuriosity	4	76.5326805550139	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
80.016	4	13	25_S25_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
85.998	6.036	14	34_Trick38_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
92.034	27.415	14	34_Trick38_combined_small.mp4	displayVid	not applicable	not applicable	The cloth turned into a longer piece of cloth 	forgotten	forgotten	The magician closes his hand around a green silk handerchief, but when he opens his hand, the silk is blue.	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
119.998	4	14	34_Trick38_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
123.999	5.999	14	34_Trick38_combined_small.mp4	displayAnswer	21 to 30	125.222452062008	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
129.998	0.051	14	34_Trick38_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
130.048	5.95	14	34_Trick38_combined_small.mp4	displayCuriosity	5	132.215342940995	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
135.998	3.996	14	34_Trick38_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
141.997	6.003	15	22_K18_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
148	22.252	15	22_K18_combined_small.mp4	displayVid	not applicable	not applicable	ALl packs changed to the same colour 	forgotten	forgotten	The magician turns the sheet of paper which now shows a bouquet of flowers.	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
171.998	10	15	22_K18_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
181.998	5.998	15	22_K18_combined_small.mp4	displayAnswer	11 to 20	182.923244651	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
187.996	0.049	15	22_K18_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
188.045	5.952	15	22_K18_combined_small.mp4	displayCuriosity	3	192.361731120007	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
193.997	4	15	22_K18_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
199.998	6.029	16	07_K2_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
206.026	27.22	16	07_K2_combined_small.mp4	displayVid	not applicable	not applicable	The candy fell out of the book 	remembered	remembered	Green and golden sweets fall out of the pages of the book.	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered
233.997	4	16	07_K2_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
237.997	6	16	07_K2_combined_small.mp4	displayAnswer	11 to 20	239.202637044014	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
243.997	0.049	16	07_K2_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
244.047	5.95	16	07_K2_combined_small.mp4	displayCuriosity	6	247.396057395992	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
