onset	duration	trial	stim_file	event	response	response_timestamp	response_recall	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	response_recognition	response_confidence	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh
2.002	6.003	13	25_S25_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
8.005	52.693	13	25_S25_combined_small.mp4	displayVid	not applicable	not applicable	no recall.	forgotten	forgotten	The magician makes a silk handkerchief appear inside a bread roll.	1	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten
62.003	6	13	25_S25_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
68.003	6	13	25_S25_combined_small.mp4	displayAnswer	21 to 30	69.9684569909878	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
74.002	0.049	13	25_S25_combined_small.mp4	fixationPostAnswer	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
74.052	5.949	13	25_S25_combined_small.mp4	displayCuriosity	2	76.7211749929993	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
80.001	4.001	13	25_S25_combined_small.mp4	fixationPostCuriosity	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
86.001	6.033	14	12_H37_combined_small.mp4	displayMockVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
92.034	28.788	14	12_H37_combined_small.mp4	displayVid	not applicable	not applicable	no recall	forgotten	forgotten	The magician unscrews his own finger and then shakes it back into place.	4	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered
122.003	3.997	14	12_H37_combined_small.mp4	fixationPostVid	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
